"Child_ID","Region","Urbanicity","Gender","C1_Reading","C1_Math","C2_Reading","C2_Math","C4_Reading","C4_Math","C5_Reading","C5_Math","C6_Reading","C6_Math","C7_Reading","C7_Math","P2_Family_Type","WK_Income","Parent_Education","Non_Home_English_Speaker","Full_Time_Program"
"0001001C",1,1,1,37,40,49,50,87,96,NA,NA,NA,NA,NA,NA,1,140000,2,0,1
"0001002C",1,1,1,51,44,84,59,156,76,185,125,193,152,207,169,1,120000,2,0,1
"0001003C",1,1,1,41,29,40,33,NA,NA,NA,NA,NA,NA,NA,NA,1,90000,2,0,1
"0001004C",1,1,0,35,27,42,34,85,79,152,114,NA,NA,NA,NA,1,60000,1,0,1
"0001005C",1,1,1,38,41,50,39,88,64,150,105,NA,NA,NA,NA,1,150000,2,0,1
"0001006C",1,1,0,33,24,34,35,56,45,154,113,NA,NA,NA,NA,1,50000,2,0,1
"0001007C",1,1,0,32,20,33,24,60,39,106,72,164,108,163,127,1,55000,1,0,1
"0001008C",1,1,1,50,36,64,53,NA,NA,NA,NA,NA,NA,204,167,1,218000,2,0,1
"0001009C",1,1,0,32,21,39,29,73,45,95,65,NA,NA,NA,NA,1,42000,1,0,1
"0001010C",1,1,1,33,27,37,32,70,61,149,110,166,135,196,143,1,70000,2,0,1
"0001011C",1,1,1,66,47,85,60,128,100,189,136,NA,NA,NA,NA,1,1e+05,2,0,1
"0001012C",1,1,0,62,62,99,79,126,112,151,157,NA,NA,NA,NA,1,140000,2,0,1
"0001013C",1,1,0,34,22,40,27,102,73,157,115,NA,NA,NA,NA,1,78000,1,0,1
"0001014C",1,1,0,39,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,90000,2,NA,1
"0002002C",1,1,0,27,16,33,22,NA,NA,NA,NA,NA,NA,NA,NA,1,2000,0,0,0
"0002003C",1,1,0,48,41,51,49,86,69,142,116,141,134,170,157,3,0,0,0,0
"0002004C",1,1,1,43,33,46,35,66,67,130,107,165,141,188,166,1,50000,1,0,0
"0002005C",1,1,1,28,20,34,29,59,64,107,86,NA,NA,NA,NA,1,19000,0,0,0
"0002006C",1,1,1,28,20,43,31,74,57,144,99,166,115,169,143,3,9000,0,0,0
"0002007C",1,1,1,32,24,41,31,NA,NA,NA,NA,NA,NA,NA,NA,3,14000,0,0,0
"0002008C",1,1,1,28,19,40,26,71,44,109,70,144,80,169,134,1,50000,1,0,0
"0002009C",1,1,0,33,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25000,0,NA,NA
"0002010C",1,1,0,32,20,40,24,58,48,92,87,NA,NA,NA,NA,2,18000,1,0,0
"0002011C",1,1,0,27,26,33,34,49,49,114,105,160,130,NA,NA,1,41000,0,0,0
"0002012C",1,1,1,31,23,37,33,53,53,106,90,NA,NA,NA,NA,3,6000,1,0,0
"0002013C",1,1,0,33,21,37,31,NA,NA,NA,NA,NA,NA,NA,NA,3,10000,0,0,0
"0002014C",1,1,0,27,14,30,19,47,34,NA,NA,NA,NA,NA,NA,1,35000,0,0,0
"0002015C",1,1,1,44,35,51,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,30000,0,0,0
"0002016C",1,1,0,37,33,37,37,NA,NA,NA,NA,NA,NA,NA,NA,3,7000,0,0,0
"0002017C",1,1,1,37,30,46,40,NA,NA,NA,NA,NA,NA,NA,NA,1,30000,0,0,0
"0002018C",1,1,1,39,26,47,47,66,59,129,117,149,133,201,142,1,55000,1,0,0
"0002019C",1,1,0,36,27,43,43,67,76,147,125,148,141,193,156,1,24000,1,0,0
"0002020C",1,1,0,31,30,40,34,86,59,NA,NA,NA,NA,NA,NA,1,15000,0,0,0
"0002021C",1,1,1,31,25,44,39,60,61,NA,NA,NA,NA,NA,NA,3,9600,0,0,0
"0002022C",1,1,1,86,45,121,53,150,94,170,117,190,156,204,169,2,21000,0,0,0
"0002023C",1,1,0,29,21,39,33,58,66,NA,NA,NA,NA,NA,NA,1,27000,1,0,0
"0002024C",1,1,1,30,25,40,36,68,55,107,85,138,121,146,139,1,54000,0,0,0
"0005001C",1,1,0,33,32,44,52,NA,NA,NA,NA,NA,NA,NA,NA,1,22000,0,1,0
"0005002C",1,1,0,28,21,41,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,40000,0,0,0
"0005003C",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13000,1,NA,0
"0005004C",1,1,1,27,18,46,35,77,61,127,88,134,117,162,150,3,8736,0,0,0
"0005005C",1,1,1,35,29,54,47,73,56,NA,NA,NA,NA,NA,NA,1,15000,0,0,0
"0005006C",1,1,1,31,21,43,33,76,48,115,87,128,106,161,131,1,12000,0,0,0
"0005007C",1,1,0,25,16,30,29,NA,NA,NA,NA,NA,NA,NA,NA,1,23000,0,0,0
"0005008C",1,1,1,NA,NA,45,28,NA,NA,NA,NA,NA,NA,NA,NA,3,3700,0,0,0
"0005009C",1,1,1,35,27,51,38,NA,NA,154,97,171,116,192,132,1,7000,0,0,0
"0005010C",1,1,0,28,26,47,37,NA,NA,NA,NA,NA,NA,NA,NA,1,36000,0,0,0
"0005011C",1,1,1,25,18,43,25,64,39,107,76,127,91,NA,NA,1,21000,1,0,0
"0005012C",1,1,0,36,28,51,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"0005013C",1,1,0,27,21,47,40,74,44,95,81,NA,NA,NA,NA,1,15000,0,0,0
"0005014C",1,1,0,26,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75000,1,NA,NA
"0005015C",1,1,0,28,13,48,31,65,42,NA,NA,NA,NA,NA,NA,3,3300,0,0,0
"0005016C",1,1,1,25,14,30,17,51,46,104,73,128,126,145,124,3,18000,0,0,0
"0005017C",1,1,1,24,18,48,38,76,54,NA,NA,NA,NA,NA,NA,1,20000,1,0,0
"0005018C",1,1,1,24,16,43,29,NA,NA,NA,NA,NA,NA,NA,NA,4,13000,0,0,0
"0005019C",1,1,0,24,18,39,29,59,48,NA,NA,NA,NA,NA,NA,1,13000,0,0,0
"0005020C",1,1,1,25,12,26,17,40,28,77,51,92,78,NA,NA,3,4000,0,0,0
"0005021C",1,1,0,24,12,28,13,26,19,NA,40,NA,NA,NA,NA,3,11000,0,0,0
"0005022C",1,1,1,26,19,40,31,NA,NA,NA,NA,NA,NA,NA,NA,1,15000,0,0,0
"0005023C",1,1,0,24,15,27,28,63,46,NA,NA,NA,NA,NA,NA,3,8800,0,0,0
"0005024C",1,1,0,23,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,15000,1,NA,NA
