CHILDID,F2CLASS,CREGION,KURBAN_R,GENDER,RACE,C1R4RSCL,C1R4MSCL,C2R4RSCL,C2R4MSCL,C3R4RSCL,C3R4MSCL,C4R4RSCL,C4R4MSCL,C5R4RSCL,C5R4MSCL,C6R4RSCL,C6R4MSCL,C7R4RSCL,C7R4MSCL,P2HFAMIL,WKPARED,WKINCOME,W1INCOME,C2SCREEN,P2INCOME
0001001C,3,1,1,2,1,37,40,49,50,,,87,96,,,,,,,1,9,140000,-1,2,140000
0001002C,3,1,1,2,1,51,44,84,59,,,156,76,185,125,193,152,207,169,1,9,120000,-1,2,120000
0001003C,3,1,1,2,1,41,29,40,33,,,,,,,,,,,1,9,90000,-1,2,90000
0001004C,3,1,1,1,1,35,27,42,34,,,85,79,152,114,,,,,1,6,60000,-1,2,-8
0001005C,3,1,1,2,1,38,41,50,39,,,88,64,150,105,,,,,1,9,150000,-1,2,-8
0001006C,3,1,1,1,1,33,24,34,35,,,56,45,154,113,,,,,1,8,50000,-1,2,50000
0001007C,3,1,1,1,1,32,20,33,24,,,60,39,106,72,164,108,163,127,1,6,55000,-1,2,55000
0001008C,3,1,1,2,8,50,36,64,53,,,,,,,,,204,167,1,9,218000,-1,2,150000
0001009C,3,1,1,1,1,32,21,39,29,,,73,45,95,65,,,,,1,5,42000,-1,2,42000
0001010C,3,1,1,2,1,33,27,37,32,,,70,61,149,110,166,135,196,143,1,8,70000,-1,2,70000
0001011C,3,1,1,2,1,66,47,85,60,,,128,100,189,136,,,,,1,7,100000,-1,2,100000
0001012C,3,1,1,1,1,62,62,99,79,,,126,112,151,157,,,,,1,9,140000,-1,2,-8
0001013C,3,1,1,1,1,34,22,40,27,,,102,73,157,115,,,,,1,5,78000,-1,2,78000
0001014C,3,1,1,1,1,39,33,,,,,,,,,,,,,1,9,90000,-1,,90000
0002002C,1,1,1,1,1,27,16,33,22,,,,,,,,,,,1,3,2000,,2,2000
0002003C,1,1,1,1,1,48,41,51,49,,,86,69,142,116,141,134,170,157,3,3,0,7000,2,0
0002004C,2,1,1,2,1,43,33,46,35,,,66,67,130,107,165,141,188,166,1,6,50000,-1,2,50000
0002005C,2,1,1,2,3,28,20,34,29,,,59,64,107,86,,,,,1,2,19000,16000,2,-8
0002006C,2,1,1,2,1,28,20,43,31,,,74,57,144,99,166,115,169,143,3,3,9000,-1,2,9000
0002007C,1,1,1,2,1,32,24,41,31,,,,,,,,,,,3,3,14000,,2,-8
0002008C,2,1,1,2,1,28,19,40,26,,,71,44,109,70,144,80,169,134,1,4,50000,-1,2,-7
0002009C,-9,1,1,1,1,33,23,,,,,,,,,,,,,,3,25000,,,
0002010C,1,1,1,1,1,32,20,40,24,,,58,48,92,87,,,,,2,5,18000,-1,2,18000
0002011C,1,1,1,1,1,27,26,33,34,,,49,49,114,105,160,130,,,1,3,41000,-1,2,41000
0002012C,1,1,1,2,8,31,23,37,33,,,53,53,106,90,,,,,3,5,6000,5500,2,-8
0002013C,1,1,1,1,1,33,21,37,31,,,,,,,,,,,3,3,10000,,2,-8
0002014C,2,1,1,1,1,27,14,30,19,,,47,34,,,,,,,1,3,35000,-1,2,35000
0002015C,1,1,1,2,1,44,35,51,40,,,,,,,,,,,,3,30000,,2,
0002016C,2,1,1,1,1,37,33,37,37,,,,,,,,,,,3,3,7000,,2,-8
0002017C,2,1,1,2,1,37,30,46,40,,,,,,,,,,,1,3,30000,,2,30000
0002018C,1,1,1,2,1,39,26,47,47,,,66,59,129,117,149,133,201,142,1,5,55000,-1,2,55000
0002019C,2,1,1,1,1,36,27,43,43,,,67,76,147,125,148,141,193,156,1,5,24000,-1,2,24000
0002020C,2,1,1,1,1,31,30,40,34,,,86,59,,,,,,,1,3,15000,,2,-8
0002021C,1,1,1,2,1,31,25,44,39,,,60,61,,,,,,,3,3,9600,1000,2,-8
0002022C,1,1,1,2,1,86,45,121,53,,,150,94,170,117,190,156,204,169,2,3,21000,-1,2,-8
0002023C,1,1,1,1,8,29,21,39,33,,,58,66,,,,,,,1,5,27000,-1,2,27000
0002024C,2,1,1,2,1,30,25,40,36,,,68,55,107,85,138,121,146,139,1,3,54000,-1,2,-8
0005001C,2,1,1,1,5,33,32,44,52,,,,,,,,,,,1,3,22000,,1,22000
0005002C,1,1,1,1,3,28,21,41,29,,,,,,,,,,,,3,40000,,2,
0005003C,1,1,1,2,1,,,,,,,,,,,,,,,4,5,13000,,,13000
0005004C,1,1,1,2,3,27,18,46,35,,,77,61,127,88,134,117,162,150,3,2,8736,4000,2,-8
0005005C,1,1,1,2,1,35,29,54,47,,,73,56,,,,,,,1,3,15000,14000,2,15000
0005006C,1,1,1,2,1,31,21,43,33,,,76,48,115,87,128,106,161,131,1,3,12000,4000,2,-8
0005007C,1,1,1,1,1,25,16,30,29,,,,,,,,,,,1,1,23000,,2,-8
0005008C,2,1,1,2,1,,,45,28,,,,,,,,,,,3,2,3700,,2,-7
0005009C,2,1,1,2,1,35,27,51,38,,,,,154,97,171,116,192,132,1,3,7000,,2,7000
0005010C,2,1,1,1,1,28,26,47,37,,,,,,,,,,,1,3,36000,,2,36000
0005011C,2,1,1,2,8,25,18,43,25,,,64,39,107,76,127,91,,,1,5,21000,,2,-8
0005012C,1,1,1,1,1,36,28,51,40,,,,,,,,,,,,,,,2,
0005013C,1,1,1,1,8,27,21,47,40,,,74,44,95,81,,,,,1,3,15000,,2,15000
0005014C,-9,1,1,1,1,26,13,,,,,,,,,,,,,,6,75000,,,
0005015C,1,1,1,1,1,28,13,48,31,,,65,42,,,,,,,3,3,3300,1000,2,3300
0005016C,1,1,1,2,1,25,14,30,17,,,51,46,104,73,128,126,145,124,3,3,18000,20000,2,-8
0005017C,1,1,1,2,4,24,18,48,38,,,76,54,,,,,,,1,5,20000,,2,20000
0005018C,1,1,1,2,8,24,16,43,29,,,,,,,,,,,4,3,13000,,2,13000
0005019C,1,1,1,1,1,24,18,39,29,,,59,48,,,,,,,1,3,13000,12000,2,-8
